review_title,review,score,real_date,year,month,type,dataset
우리 가족도 즐길 수 있는 난타!,"내 가족, 포함한 14, 12, 9살 고 - 아이들은, 모든 난타 명동 극장에서 즐겼다. 쉽게 찾을 수 있는 극장의 5분 거리에서 그리 멀지 않다. 지하철 역에서 걸어서. 나는 모든 가족들이 난타 를 추천합니다.",5,2015년 8월 ,2015.0,8.0, 가족,"우리 가족도 즐길 수 있는 난타! 내 가족, 포함한 14, 12, 9살 고 - 아이들은, 모든 난타 명동 극장에서 즐겼다. 쉽게 찾을 수 있는 극장의 5분 거리에서 그리 멀지 않다. 지하철역에서 걸어서. 나는 모든 가족들이 난타를 추천합니다."
좋은 곳에 좋은 비지니스 여행객 수 없습니다.,아주 좋은 이유가 있지만 저는 업무 때문에 방문.  성능은 좋지만 주차할 곳이 없어요.  나는 모든 곳에 주차장 tecommend. 한국에는 많은 주차 공간이 많은.  :)  ,4,2015년 12월 ,2015.0,12.0, 비지니스,좋은 곳에 좋은 비즈니스 여행객 수 없습니다. 아주 좋은 이유가 있지만 저는 업무 때문에 방문.  성능은 좋지만 주차할 곳이 없어요.  나는 모든 곳에 주차장 tecommend. 한국에는 많은 주차 공간이 많은.  :)  
쇼핑 중에 즐길 수 있는 공연,명동 한가운데 있어 접근성이 좋습니다. 유네스코 빌딩안에 있는데 난타 극장을 제외하고는 병원들이 많이 있어서 급하면 들릴수도 있습니다. 중국관광객도 많이와 외국인들이 편하게 관람이 가능합니다. 난타가 대사가 있는 것도 아니니까요.,3,2016년 6월 ,2016.0,6.0, 개인,쇼핑 중에 즐길 수 있는 공연 명동 한가운데 있어 접근성이 좋습니다. 유네스코 빌딩 안에 있는데 난타 극장을 제외하고는 병원들이 많이 있어서 급하면 들릴 수도 있습니다. 중국 관광객도 많이 와 외국인들이 편하게 관람이 가능합니다. 난타가 대사가 있는 것도 아니니까요.
아주 엔터테인먼트 쇼,"모두가 사랑 하는 것이 대화 쇼는 범용 없습니다. 이 함께 곡예, 주방 용품 및 드라마 공연 악곡 사용할 수 있습니다. 나는 많은 말을 할 수 없습니다, 하지만 당신이 이곳을: ). 심지어는 주위에 앉아 4 행 앞에 있는, 플레이어를 계속 볼 수 있는, 그 의 눈과 손으로 저를 사용하여 통신합니다. 놀라운. 즉, 모든 선수들이 특별한 인재로 시청 및 통신, 즐겁게 이 쇼.",5,2016년 8월,2016.0,8.0,,"아주 엔터테인먼트 쇼 모두가 사랑하는 것이 대화 쇼는 범용 없습니다. 이 함께 곡예, 주방 용품 및 드라마 공연 악곡 사용할 수 있습니다. 나는 많은 말을 할 수 없습니다, 하지만 당신이 이곳을: ). 심지어는 주위에 앉아 4 행 앞에 있는, 플레이어를 계속 볼 수 있는, 그의 눈과 손으로 저를 사용하여 통신합니다. 놀라운. 즉, 모든 선수들이 특별한 인재로 시청 및 통신, 즐겁게 이 쇼."
철저하게 즐겁게,"제 남편과 저는 이 공연을 즐길 수 있었다. 재능 넘치게 갈 수 있는 캐스트 및. 우리는 돈 도 잘 보냈다!  저는 그 분이 쓰신 글 (ccandynz, 영화관이 있기 때문에 작고 친밀한, 가장 비싼 부분 에 앉아서 필요가 없습니다.",5,2017년 4월 ,2017.0,4.0, 커플,"철저하게 즐겁게 제 남편과 저는 이 공연을 즐길 수 있었다. 재능 넘치게 갈 수 있는 캐스트 및. 우리는 돈 도 잘 보냈다!  저는 그분이 쓰신 글 (ccandynz, 영화관이 있기 때문에 작고 친밀한, 가장 비싼 부분에 앉아서 필요가 없습니다."
지도가 이상해서 건물찾고 입구 찾는게 엄청 어려웠어요,"지도보고 찾아갔는데 못 찾겠어서 전화드렸는데 설명이 명쾌하지 않았고, 입구 찾는게 굉장히 어렵네요. 공연은 너무 좋았는데 찾느라 애먹었습니다. 시간 여유 많이 두고 찾아가야 할 것 같아요.",3,2017년 6월 ,2017.0,6.0, 친구,"지도가 이상해서 건물 찾고 입구 찾는 게 엄청 어려웠어요 지도 보고 찾아갔는데 못 찾아서 전화드렸는데 설명이 명쾌하지 않았고, 입구 찾는 게 굉장히 어렵네요. 공연은 너무 좋았는데 찾느라 애먹었습니다. 시간 여유 많이 두고 찾아가야 할 것 같아요."
즐겁지 표시,쇼도 재미있었습니다. 야 할 경우 이 없습니다. 표시할 이전 명동 극장 주 표시되지 않습니다. 잘못된 위치에 제공되지 않습니다.,4,2017년 6월 ,2017.0,6.0, 친구,즐겁지 표시 쇼도 재미있었습니다. 야 할 경우 이 없습니다. 표시할 이전 명동 극장 주 표시되지 않습니다. 잘못된 위치에 제공되지 않습니다.
매우 즐거운!,"온라인으로 예약할 할인 가격. 사전 예약을 받지 않고 카운터, 같은 날 제외하고. 사는 50, 000 w 포후투아카와 의 중심부에 있는 극장 였습니다. 쇼 시간에 시작 이 즐겁고 재미있는 시간이 2 개. 주방에서 음식을 준비하는 요리사 네 개의 균일 하기 시작 하자, 자르기, 활발한, 결국 수행하면서 다양한, 드러밍, 점프, somersaulting 절환시 하고 춤 에서 보다. 에너지 가 되어, 보는 재미 를 동시에 주 싶어요. 하는 촌극 도 좋았다. 하지만 그들은 총 5 잔 쇼를 하는 스테이지 들이 전체적으로. 강력 추천합니다.",4,2017년 6월 ,2017.0,6.0, 가족,"매우 즐거운! 온라인으로 예약할 할인 가격. 사전 예약을 받지 않고 카운터, 같은 날 제외하고. 사는 50, 000 w 포프 투아 카와의 중심부에 있는 극 줄였습니다. 쇼 시간에 시작 이 즐겁고 재미있는 시간이 2 개. 주방에서 음식을 준비하는 요리사 네 개의 균일하기 시작하자, 자르기, 활발한, 결국 수행하면서 다양한, 드러밍, 점프, somersaulting 절환 시 하고 춤에서 보다. 에너지 가 되어, 보는 재미를 동시에 주 싶어요. 하는 촌극 도 좋았다. 하지만 그들은 총 5 잔 쇼를 하는 스테이지들이 전체적으로. 강력 추천합니다."
성능 좋은!,난타 를 볼 수 있는 쿠킹 쇼 극장 난타 명동 에서 정말 좋은 시간. 이 극장의 명동 손쉽게 찾을 수 있습니다. 깨끗하고 직원들은 매우 도움이 되는 극장.,5,2017년 6월 ,2017.0,6.0, 가족,성능 좋은! 난타를 볼 수 있는 쿠킹 쇼 극장 난타 명동에서 정말 좋은 시간. 이 극장의 명동 손쉽게 찾을 수 있습니다. 깨끗하고 직원들은 매우 도움이 되는 극장.
재미있는 쇼,"유능한 재공연의 배우들과 함께 재미있는 쇼. 쇼는 말을 걸어주었다, 한국말을 하지 못해 너무 걱정하지 마세요. 이곳은 서울에 방문한다면, 하지만 어린 아이들과 함께 여행을 한다면 꼭 추천합니다.",3,2017년 9월 ,2017.0,9.0, 커플,"재미있는 쇼 유능한 재공연의 배우들과 함께 재미있는 쇼. 쇼는 말을 걸어주었다, 한국말을 하지 못해 너무 걱정하지 마세요. 이곳은 서울에 방문한다면, 하지만 어린아이들과 함께 여행을 한다면 꼭 추천합니다."
