review_title,review,score,real_date,year,month,type,dataset
부드러운 여행,서울에서 ktx를 타고 부산. 아주 편안한 여행. 여행 6-7시간 가는 길 2-1/2 정도였습니다. 좋은 길입니다.,5,2015년 4월 ,2015.0,4.0, 커플,부드러운 여행 서울에서 ktx를 타고 부산. 아주 편안한 여행. 여행 6-7시간 가는 길 2-1/2 정도였습니다. 좋은 길입니다.
한국을 여행하는 가장 좋은 방법,"편안한 좌석 (게다가 발걸이 각 좌석), 안정, 빠르고, 게다가 그들은 무료 와이파이!",5,2015년 4월,2015.0,4.0,,"한국을 여행하는 가장 좋은 방법 편안한 좌석 (게다가 발걸이 각 좌석), 안정, 빠르고, 게다가 그들은 무료 와이파이!"
시간을 잘 지키고 빠른 ktx,"3일 전에 한국 여행 온라인 예약했습니다. 한국에 도착했을 때, ktx 서울역 에 가서 실제 티켓. 하루 전에 예약을 해 여행을 부산에 있는 좌석의 바람직한 시간에는 여전히 사용할 수 있습니다. 저희는 할인 티켓 (120,000원 2명) 가 외국인만 사용할 수 있습니다.  기차 여행 일정 대로 정확히 6:25 눌림여부를. 이구요. 하지만 전반적으로 아주 편안했습니다. 단지 작은 다리 방에 비하면 일본의 열차 노조미.  또한 교통 수단 간 빠르고 효율적이었어요.",3,2015년 5월 ,2015.0,5.0, 커플,"시간을 잘 지키고 빠른 ktx 3일 전에 한국 여행 온라인 예약했습니다. 한국에 도착했을 때, ktx 서울역에 가서 실제 티켓. 하루 전에 예약을 해 여행을 부산에 있는 좌석의 바람직한 시간에는 여전히 사용할 수 있습니다. 저희는 할인 티켓 (120,000원 2명) 가 외국인만 사용할 수 있습니다.  기차 여행 일정 대로 정확히 6:25 눌림 여부를.이고요. 하지만 전반적으로 아주 편안했습니다. 단지 작은 다리 방에 비하면 일본의 열차 노조미.  또한 교통수단 간 빠르고 효율적이었어요."
시간을 부드럽게,"서울역에서 ktx를 타고 동대구역, 신경주 역 singyeoungju 역과 동대구역 을 할 수 있습니다. 우리가 온라인에서 티켓을 가지고 좌석 선택 코레일. com로 만들 수 있는 여행. 우리가 선택한 퍼스트 클래스는 다음에 무엇을 기대하지 확실하지 않았다 할 수 있습니다.  시간에 출발하는 ktx 매우 도착, 우리와 같은 항공 회사들이 지. 이륙, 항속 및 중지하고 매우 부드러운. 믿을 수 없는 여행을 하기에 힘든 300 kmh.  Ktx 는 반드시 한국에서 여행하는 동안 시간을 절약할 수 있습니다. 서울 부산 이 3시간 이상.",5,2015년 5월 ,2015.0,5.0, 커플,"시간을 부드럽게 서울역에서 ktx를 타고 동대구역, 신경주 역 singyeoungju 역과 동대구역을 할 수 있습니다. 우리가 온라인에서 티켓을 가지고 좌석 선택 코레일. com로 만들 수 있는 여행. 우리가 선택한 퍼스트 클래스는 다음에 무엇을 기대하지 확실하지 않았다 할 수 있습니다.  시간에 출발하는 ktx 매우 도착, 우리와 같은 항공 회사들이 지. 이륙, 항속 및 중지하고 매우 부드러운. 믿을 수 없는 여행을 하기에 힘든 300 kmh.  Ktx는 반드시 한국에서 여행하는 동안 시간을 절약할 수 있습니다. 서울 부산 이 3시간 이상."
"코레일 패스를 구입하지 않는, 거대한 돈 낭비!","돈에 대해 주의하지 않으면, 사 코레일 전달할 수 있습니다. 하지만 이 거대한 돈 낭비. 저희는 7일 패스는 온라인 reservaton, 교환할 수 있는 모든 것을 하지 않은 것이, 이 훨씬 저렴하기 때문에 버스나 기차 여행을 하지 않고 패스. 하지 않으면 모든 정보가 기다리느라 하루 4회 한국, 구매 가치가 없습니다. 할 수 있는 큰 버스 네트워크, 즉 저렴하고, 빠르고 지키는 대부분의 경우 미리 티켓을 예약할 필요가 없고. 이 페이지는 www. ga82.com, 매우 도움이 되었는데 버스 또는 기차 연결 가능한 모든 방법을 보여 줍니다. 나를 믿지 않는 경우에는 해당 가격, 작은 계산하지 않을 경우 보여 줄 수 있을 정도로 그는 많은 돈을 properbly 만나고 싶다고 코레일 패스. 하기 전에 호텔 리셉션에 다시 버스 터미널까지 부탁드립니다. 대부분 페이지가 정확하게, 하지만 직원들은 매우 친절하고 좋은 숙소 정보는 항상 varify. 하는 것을, 한국은 쉽고 저렴한 가격에 여행 코레일 패스를 구입하지, 그 비싼 요금을 enoumously!",1,2015년 6월 ,2015.0,6.0, 커플,
KTX는 정차역 개선이 필요하다,서울 용산에서 광주 송정 구간을 자주 이용하게 되어 KTX를 이용할 기회가 많아졌다. 항공도 평일 특정 시간대에 KTX요금으로 이용할 수 있으나 김포까지의 접근성보다 용산으로의 접근성이 좋아 KTX를 이용하고 있다. KTX는 정차역을 좀더 개선할 필요성은 여전히 있다.,3,2015년 7월 ,2015.0,7.0, 가족,KTX는 정차역 개선이 필요하다 서울 용산에서 광주 송정 구간을 자주 이용하게 되어 KTX를 이용할 기회가 많아졌다. 항공도 평일 특정 시간대에 KTX 요금으로 이용할 수 있으나 김포까지의 접근성보다 용산으로의 접근성이 좋아 KTX를 이용하고 있다. KTX는 정차역을 좀 더 개선할 필요성은 여전히 있다.
"사용하기 쉬운, 영어도","빠르고 쉽게, 고 항상 시간. 표지판은 한국어와 영어. 매우 편리한 서울과 부산 간 (보다 더 그렇게 답변하기). 강력 추천합니다!",5,2015년 8월 ,2015.0,8.0, 비지니스,"사용하기 쉬운, 영어도 빠르고 쉽게, 고 항상 시간. 표지판은 한국어와 영어. 매우 편리한 서울과 부산 간 (보다 더 그렇게 답변하기). 강력 추천합니다!"
"시간, 빠른 깨끗하고, 무료 와이파이","우리가 예약한 3일 코레일 패스. 이 가공 패스의 주위에 여행을 하고 싶은 만큼 기차를 이용할 수 있습니다.  글머리 기호 사용 가능한 가장 빠른 선택 및 한국의 ktx traim. 서울에서 부산 갈 수 있는 2 1/2 h.  기차는 구축 및 프랑스 tv는 프랑스어로 quivalent. 가장 빠른 (250 km/h) 가장 편안하게 여행을 했습니다.  좌석을 예약합니다. 지하철이 아주 깨끗하고(많은 유럽 보다 더 깨끗 하) toillets. 와이파이는 빠르고 무료로 사용할 수 있습니다. 음료 및 스낵을 판매하는 열차. 적당한 가격 (3.000원 stabucks frappucino).  1, 3 및 5일 코레일 가공 패스가 다른 것 같아요. 우리 그룹은 80.000원 3 -하루에 한 사람당 2개의 패스.  여행을 하고 싶을 경우 국가 했습니다!",5,2015년 8월 ,2015.0,8.0, 커플,"시간, 빠른 깨끗하고, 무료 와이파이 우리가 예약한 3일 코레일 패스. 이 가공 패스의 주위에 여행을 하고 싶은 만큼 기차를 이용할 수 있습니다.  글머리 기호 사용 가능한 가장 빠른 선택 및 한국의 ktx traim. 서울에서 부산 갈 수 있는 2 1/2 h.  기차는 구축 및 프랑스 tv는 프랑스어로 quivalent. 가장 빠른 (250 km/h) 가장 편안하게 여행을 했습니다.  좌석을 예약합니다. 지하철이 아주 깨끗하고(많은 유럽 보다 더 깨끗 하) toillets. 와이파이는 빠르고 무료로 사용할 수 있습니다. 음료 및 스낵을 판매하는 열차. 적당한 가격 (3.000원 stabucks frappucino).  1, 3 및 5일 코레일 가공 패스가 다른 것 같아요. 우리 그룹은 80.000원 3 -하루에 한 사람당 2개의 패스.  여행을 하고 싶을 경우 국가 했습니다!"
고속철로 더 특화 시켜야..,대만의 고속철과 비교할때 우리나라의 KTX는 너무 많은 곳에 정차한다 고속철은 말 그대로 고속철이다. 한번 출발하면 논스톱으로 날아가는 특급열차의 차별화 된 요소가 있어야 한다 적어도 두세편중에 한편 정도는 정차역을 1~2개 정도로 확 줄이고 속도도 높여서 서울-부산을 두시간 정도에 끊어야 고속철이란 말이 무색하지 않을 것 같다,3,2015년 9월,2015.0,9.0,,고속철로 더 특화 시켜야.. 대만의 고속철과 비교할 때 우리나라의 KTX는 너무 많은 곳에 정차한다 고속철은 말 그대로 고속철이다. 한번 출발하면 논스톱으로 날아가는 특급열차의 차별화된 요소가 있어야 한다 적어도 두세 편 중에 한편 정도는 정차역을 1~2개 정도로 확 줄이고 속도도 높여서 서울-부산을 두 시간 정도에 끊어야 고속철이란 말이 무색하지 않을 것 같다
가장 좋은 방법은 한국에서 여행,서울에서 부산 카운티까지 고속 데몬이 기쁘고. 여행할 때는 속도를 느끼지 않는다. 앉아서 즐길 수 있는 경험.,5,2015년 9월 ,2015.0,9.0, 커플,가장 좋은 방법은 한국에서 여행 서울에서 부산 카운티까지 고속 데몬이 기쁘고. 여행할 때는 속도를 느끼지 않는다. 앉아서 즐길 수 있는 경험.
