review_title,review,score,real_date,year,month,type,dataset
젊음의 거리!,홍대는 갈때마다 길거리 공연도 많고 재밌게 볼것들이 참 많네요 맛집이 구석구석에 위치하고 있어서 찾아가는게 좀 귀찮지만 부지런하면 싸고 맛있고 좋은곳에서 이용 가능할듯!,5,2015년 1월 ,2015,1, 친구,젊음의 거리! 홍대는 갈 때마다 길거리 공연도 많고 재밌게 볼 것들이 참 많네요 맛 집이 구석구석에 위치하고 있어서 찾아가는 게 좀 귀찮지만 부지런하면 싸고 맛있고 좋은 곳에서 이용 가능할 듯!
바쁜 젊은 패션,"전체 관광객 및 지역 주민들. 음식도, 우리가 간 곳은 쇼핑 및 패션과 유사한, 과 같은 가격이 더 비싸다. 너무 잘 지, 왜 인기가 있는 곳입니다? 아마 이 곳의 은신처 는 젊은 사람. 특별한 아무것도",5,2015년 1월 ,2015,1, 커플,"바쁜 젊은 패션 전체 관광객 및 지역 주민들. 음식도, 우리가 간 곳은 쇼핑 및 패션과 유사한, 과 같은 가격이 더 비싸다. 너무 잘 지, 왜 인기가 있는 곳입니다? 아마 이곳의 은신처는 젊은 사람. 특별한 아무것도"
정말 즐겁고 바쁜,많은 활동을 하고. 많은 레스토랑과 바 체크 아웃합니다. 꼭 밤 문화를 위한 장소,4,2015년 1월,2015,1,,정말 즐겁고 바쁜 많은 활동을 하고. 많은 레스토랑과 바 체크아웃합니다. 꼭 밤 문화를 위한 장소
"활기찬 유니버시티 지역 - 쇼핑, 레스토랑","놀라운 하드 를 보면 - 사방에 한꺼번에 한 느낌. 수많은 쇼핑센터, 길거리 음식, 레스토랑과 유행의 젊은 사람들을 거리 지 않았다. 낮과 밤에 방문에 있었습니다. 추운 1월 에도, 사람들이 줄지어 있는 거리를 항상 somehing 볼 수 있습니다. 쇼핑을 좋아하는 사람, 놓치지 마세요.",5,2015년 1월 ,2015,1, 비지니스,"활기찬 유니버시티 지역 - 쇼핑, 레스토랑 놀라운 하드를 보면 - 사방에 한꺼번에 한 느낌. 수많은 쇼핑센터, 길거리 음식, 레스토랑과 유행의 젊은 사람들을 거리 지 않았다. 낮과 밤에 방문에 있었습니다. 추운 1월에도, 사람들이 줄지어 있는 거리를 항상 somehing 볼 수 있습니다. 쇼핑을 좋아하는 사람, 놓치지 마세요."
시원한 장소,"전체 거리는 매우 붐비는 밤, 많은 스트리트 댄스 와 노래 성능을 거리. 제가 무엇을 먹거나 마실, 대로 많은 레스토랑과 바.",4,2015년 1월 ,2015,1, 친구,"시원한 장소 전체 거리는 매우 붐비는 밤, 많은 스트리트 댄스 와 노래 성능을 거리. 제가 무엇을 먹거나 마실, 대로 많은 레스토랑과 바."
롱 거리,"길거리 엔 젊은 대학생. 겨울, 딱히 살 수 있습니다. 대부분의 점포 판매가 여성 긴소매 셔츠. 조언 하지 않은 경우 여성 여행객 입니다. 많은 남성 들을 사 않습니다.",3,2015년 1월 ,2015,1, 친구,"롱 거리 길거리 엔 젊은 대학생. 겨울, 딱히 살 수 있습니다. 대부분의 점포 판매가 여성 긴소매 셔츠. 조언하지 않은 경우 여성 여행객입니다. 많은 남성 들을 사 않습니다."
"활기찬 atmoosphere, 맛있는 음식, 훌륭한 쇼핑",여기에 좋은 음식. 아주 활기찬 환경. 훌륭한 쇼핑. 여기 거의 모두 찾을 수 있습니다.,5,2015년 1월 ,2015,1, 친구,"활기찬 atmoosphere, 맛있는 음식, 훌륭한 쇼핑 여기에 좋은 음식. 아주 활기찬 환경. 훌륭한 쇼핑. 여기 거의 모두 찾을 수 있습니다."
트렌디한 장소,많은 음식과 소매 솔루션을 특히 야경. 는 젊고 트렌디한 군중. 거리 공연 수 있습니다.,5,2015년 1월 ,2015,1, 개인,트렌디한 장소 많은 음식과 소매 설루션을 특히 야경.는 젊고 트렌디한 군중. 거리 공연 수 있습니다.
젊음과 자유,사람이 너무 많았으나 좋은 구경거리와 먹을거리가 많은 곳이네요. 특히 bar 떡볶이 이자까야가 좋았어요,4,2015년 2월 ,2015,2, 비지니스,젊음과 자유 사람이 너무 많았으나 좋은 구경거리와 먹을거리가 많은 곳이네요. 특히 bar 떡볶이 이자카야가 좋았어요
언제나 사람이 많은곳,"홍대앞은 오래된 시내이고, 주변의 합정,상수,연남동 등이 최근 생긴 시내 입니다. 홍대앞은 보통 소년, 소녀, 대학생 등을 위한 먹거리, 식당, 노래방 등이 형성되어있고 합정/상수/연남동 쪽으로 가면 20대후반 직장인들을 위한 분위기 좋은 레스토랑이 많이 있습니다 금요일, 토요일의 경우 사람이 엄청 많으니 가급적 제일 붐비는 길은 가지 마세요 길거리 음식들만 먹어도 재밌고 맛있으며, 자금 여유가 있다면 이쁜 레스토랑에서 즐거운 식사를~ 겨울 이외에는 야외 자리도 많으니 햇살 가득한 날 기분전환하기도 좋아요  너무 사람이 많아서.. 4점만 줍니다 ㅎ",4,2015년 2월 ,2015,2, 커플,"언제나 사람이 많은 곳 홍대 앞은 오래된 시내이고, 주변의 합정, 상수, 연남동 등이 최근 생긴 시내입니다. 홍대 앞은 보통 소년, 소녀, 대학생 등을 위한 먹거리, 식당, 노래방 등이 형성되어있고 합정/상수/연남동 쪽으로 가면 20대 후반 직장인들을 위한 분위기 좋은 레스토랑이 많이 있습니다 금요일, 토요일의 경우 사람이 엄청 많으니 가급적 제일 붐비는 길은 가지 마세요 길거리 음식들만 먹어도 재밌고 맛있으며, 자금 여유가 있다면 이쁜 레스토랑에서 즐거운 식사를~ 겨울 이외에는 야외 자리도 많으니 햇살 가득한 날 기분전환하기도 좋아요  너무 사람이 많아서.. 4점만 줍니다 ㅎ"
